address,company,detail,position
北京,"
阿里
",大专以上 | 0-2年 | 全职 | 20-35万,财务主管
北京,"
阿里
",本科以上 | 1年以下 | 全职 | 25000-50000元,IOS高级开发工程师
北京,"
阿里
",本科以上 | 3-5年 | 全职 | 20000-38000元,高级前端开发工程师 专家
深圳,"
阿里
",本科以上 | 3-5年 | 全职 | 20000-38000元,高级前端开发工程师 专家
深圳,"
阿里
",本科以上 | 3-5年 | 全职 | 20000-38000元,Nodejs全栈开发工程师 专家
北京,"
阿里
",本科以上 | 3-5年 | 全职 | 20000-38000元,Nodejs全栈开发工程师 专家
北京,"
阿里
",本科以上 | 3年以上 | 全职 | 48-80万,测试开发
杭州,"
阿里
",本科以上 | 1年以内 | 全职 | 20000-30000,测试开发
荆州,"
阿里
",大专以上 | 应届毕业生 | 全职 | 8000-12000,餐饮行业销售专员
清远,"
阿里
",大专以上 | 1年以内 | 全职 | 8000-13000,销售顾问
杭州,"
阿里
",本科以上 | 1-3年 | 全职 | 15000-30000,支付宝java开发
杭州,"
阿里
",本科以上 | 3-5年 | 全职 | 20000-35000,资深影像体验设计师
